component,eigenvalue,explained_variance_ratio,cumulative_variance_ratio
PC1,1.4421804969378116,0.36053561142148666,0.36053561142148666
PC2,1.1996401773743506,0.2999021313585914,0.660437742780078
PC3,0.7198529049909694,0.17995847800294018,0.8403962207830182
PC4,0.6384319615939658,0.15960377921698177,1.0
