,PC1,PC2,PC3,PC4
SPXUSD,-0.5262168406673307,0.4681593930289302,0.4437274272674303,-0.5541016058517639
ETHUSD,-0.5324955856510575,0.4200864929648332,-0.6523766858072455,0.33820178814695556
USDJPY,0.3647440291423123,0.6563432165577826,0.3981061354925054,0.5269600365937036
XAUUSD,-0.553629913448742,-0.4166145739479995,0.4679980074626434,0.548547245658804
