pair,n_windows,frac_windows_p10,median_adf_stat,beta_mean,beta_std
SPXUSD/ETHUSD,50,0.12,-2.0860704520392,3.1890283421486054,3.2007533897876357
SPXUSD/USDJPY,50,0.06,-2.1071441746546524,0.05694120927362478,0.3996565409555747
SPXUSD/XAUUSD,50,0.1,-1.9026458003916702,0.4665414980707472,0.8856704337943553
ETHUSD/USDJPY,50,0.14,-1.991336708910863,6.563509084350151e-05,0.09246754393759364
ETHUSD/XAUUSD,50,0.1,-1.966899140924699,0.017035910762792598,0.15383227548953354
USDJPY/XAUUSD,50,0.12,-2.1610769838953097,-0.3822407664150812,1.6278536852485215
