instance_id,family,sharpe_0p5x,sharpe_1x,sharpe_2x,return_1x,turnover_1x,n_trades,cost_drag_0p5x_to_1x,dies_at_2x_cost
breakout_egarch_USDJPY_L24_Q0.4,breakout_egarch,0.31300053948833584,0.21285344269955506,0.012567245008013822,0.07779644297273625,1276.0,638,-0.050988035324980974,False
breakout_egarch_XAUUSD_L24_Q0.8,breakout_egarch,0.7325035737978698,0.6868995320627759,0.5956693925296611,0.6238562315094491,816.0,408,-0.0614708568125506,False
breakout_egarch_XAUUSD_L48_Q0.4,breakout_egarch,0.47741595376149865,0.4281245411181689,0.3295292223274496,0.3186690161754888,862.0,431,-0.05483401681822819,False
breakout_egarch_XAUUSD_L48_Q0.8,breakout_egarch,0.7775253394112601,0.7451704035530662,0.6804384868410769,0.6624034248844195,548.0,274,-0.042075697515461474,False
breakout_egarch_XAUUSD_L96_Q0.4,breakout_egarch,0.6434989341527557,0.6060835256141978,0.5312336221552953,0.4715349603039396,570.0,285,-0.041255380280835086,False
breakout_egarch_XAUUSD_L168_Q0.4,breakout_egarch,0.5798261203277759,0.5477453368974378,0.48355849786848415,0.3668637921742739,422.0,211,-0.029269186296238203,False
session_reversion_SPXUSD_lookback_days60_z_entry1.0,session_reversion,0.7845061554999612,0.7162100541299268,0.5795868507174272,0.38152911180078086,796.0,398,-0.04697914024419192,False
