instance_id,regime_type,regime_label,mean_bar_return,n_bars
breakout_egarch_XAUUSD_L96_Q0.4,moving_average,Bull,1.1148539524711895e-05,25761
breakout_egarch_XAUUSD_L96_Q0.4,spread_liquidity,Normal,1.499710289183576e-05,25566
breakout_egarch_XAUUSD_L96_Q0.4,spread_liquidity,Wide,1.2791853995479356e-05,7274
breakout_egarch_XAUUSD_L96_Q0.4,spread_liquidity,Extreme,-7.517330870046764e-06,3762
breakout_egarch_XAUUSD_L168_Q0.4,atr_vol,Low,6.657939637104331e-06,10789
breakout_egarch_XAUUSD_L168_Q0.4,atr_vol,Normal,1.079733867297626e-05,13816
breakout_egarch_XAUUSD_L168_Q0.4,atr_vol,High,3.0159116386403194e-05,7479
breakout_egarch_XAUUSD_L168_Q0.4,atr_vol,Extreme,-1.872485842571096e-05,4518
breakout_egarch_XAUUSD_L168_Q0.4,efficiency_ratio,Choppy,-7.963938590781262e-05,29424
breakout_egarch_XAUUSD_L168_Q0.4,efficiency_ratio,Neutral,0.00026990407790383086,8952
breakout_egarch_XAUUSD_L168_Q0.4,efficiency_ratio,Trending,0.000857856523719556,337
breakout_egarch_XAUUSD_L168_Q0.4,moving_average,Bear,6.414902218244112e-06,13000
breakout_egarch_XAUUSD_L168_Q0.4,moving_average,Bull,1.081386336322086e-05,25761
breakout_egarch_XAUUSD_L168_Q0.4,spread_liquidity,Normal,6.638471307174456e-06,25566
breakout_egarch_XAUUSD_L168_Q0.4,spread_liquidity,Wide,2.0321945416071653e-05,7274
breakout_egarch_XAUUSD_L168_Q0.4,spread_liquidity,Extreme,1.1809855008340961e-05,3762
session_reversion_SPXUSD_lookback_days60_z_entry1.0,atr_vol,Low,2.8355866748947973e-06,11601
session_reversion_SPXUSD_lookback_days60_z_entry1.0,atr_vol,Normal,2.375869625046908e-06,13602
session_reversion_SPXUSD_lookback_days60_z_entry1.0,atr_vol,High,2.0075400311699394e-05,6653
session_reversion_SPXUSD_lookback_days60_z_entry1.0,atr_vol,Extreme,1.4757373530540364e-05,4209
session_reversion_SPXUSD_lookback_days60_z_entry1.0,efficiency_ratio,Choppy,1.7991612225208502e-05,28184
session_reversion_SPXUSD_lookback_days60_z_entry1.0,efficiency_ratio,Neutral,-1.287570340968022e-05,9368
session_reversion_SPXUSD_lookback_days60_z_entry1.0,efficiency_ratio,Trending,-5.71609474433357e-05,624
session_reversion_SPXUSD_lookback_days60_z_entry1.0,moving_average,Bear,2.318247734024199e-05,11636
session_reversion_SPXUSD_lookback_days60_z_entry1.0,moving_average,Bull,3.047851356916461e-06,26588
session_reversion_SPXUSD_lookback_days60_z_entry1.0,spread_liquidity,Normal,1.3592603053360279e-06,29505
session_reversion_SPXUSD_lookback_days60_z_entry1.0,spread_liquidity,Wide,1.7730652400264913e-05,3350
session_reversion_SPXUSD_lookback_days60_z_entry1.0,spread_liquidity,Extreme,5.027569541099567e-05,3210
