symbol,strategy,L,Q,sharpe,total_return,max_dd
SPXUSD,buy_and_hold,,,0.9034128294289208,1.3038623161537188,-0.3553778641691693
SPXUSD,breakout_unconditioned,24.0,0.0,-1.0694323944277022,-0.7167963606713723,-0.7793060863868955
SPXUSD,breakout_realizedvol_filtered,24.0,0.4,-0.5919725418528445,-0.4285085611622699,-0.49030492222272193
SPXUSD,breakout_realizedvol_filtered,24.0,0.6,-0.42665374374896675,-0.3264046120152224,-0.4053622393575521
SPXUSD,breakout_realizedvol_filtered,24.0,0.8,0.1838353451595804,0.07544271295155425,-0.35639783483837284
SPXUSD,breakout_unconditioned,48.0,0.0,-0.3338771581701686,-0.3618644334449709,-0.4844918391137705
SPXUSD,breakout_realizedvol_filtered,48.0,0.4,-0.04528482817907945,-0.0965745029186239,-0.33951940565372596
SPXUSD,breakout_realizedvol_filtered,48.0,0.6,-0.1284834562803288,-0.13852467674712576,-0.3352550621962537
SPXUSD,breakout_realizedvol_filtered,48.0,0.8,0.17426092270074175,0.0673565251900674,-0.4047420609198714
SPXUSD,breakout_unconditioned,96.0,0.0,-0.08167637326562882,-0.15348344043526851,-0.4004569904719867
SPXUSD,breakout_realizedvol_filtered,96.0,0.4,0.07003754012536072,-0.004960190541352105,-0.2479430858026065
SPXUSD,breakout_realizedvol_filtered,96.0,0.6,0.12713422664883992,0.03506348469399989,-0.2913296293318107
SPXUSD,breakout_realizedvol_filtered,96.0,0.8,0.4901965998572286,0.28004781615320073,-0.34445177563236595
SPXUSD,breakout_unconditioned,168.0,0.0,-0.11252500114509525,-0.15487401201690576,-0.39852757178050047
SPXUSD,breakout_realizedvol_filtered,168.0,0.4,-0.08006794967792134,-0.08665411315050064,-0.2760386766830347
SPXUSD,breakout_realizedvol_filtered,168.0,0.6,0.17495166268830373,0.06471306700252955,-0.3609338591152632
SPXUSD,breakout_realizedvol_filtered,168.0,0.8,0.25847834896304267,0.10670607510521934,-0.35004220448875045
ETHUSD,buy_and_hold,,,1.0776110280187596,12.595592201587444,-0.7924131098819462
ETHUSD,breakout_unconditioned,24.0,0.0,-0.13442378593601775,-0.927886290464207,-0.9785192889158616
ETHUSD,breakout_realizedvol_filtered,24.0,0.4,-0.8581926336116579,-0.991566842199724,-0.9970124587637377
ETHUSD,breakout_realizedvol_filtered,24.0,0.6,-0.6701204453971508,-0.9749469352634406,-0.9889372117697076
ETHUSD,breakout_realizedvol_filtered,24.0,0.8,-1.1001852214038703,-0.9851343207567813,-0.9907772516920759
ETHUSD,breakout_unconditioned,48.0,0.0,0.4915015014508315,0.19418738380216238,-0.7403387407660325
ETHUSD,breakout_realizedvol_filtered,48.0,0.4,-0.24373052620227237,-0.8912799152674241,-0.9541283453926199
ETHUSD,breakout_realizedvol_filtered,48.0,0.6,-0.055905197355499384,-0.7322685858549516,-0.9431595408512137
ETHUSD,breakout_realizedvol_filtered,48.0,0.8,-0.42740138644223663,-0.8607004059808663,-0.9635287975156984
ETHUSD,breakout_unconditioned,96.0,0.0,0.6221484930270386,1.236077706855653,-0.7335277494441882
ETHUSD,breakout_realizedvol_filtered,96.0,0.4,0.09202699187734577,-0.5520004788446744,-0.7628786376978558
ETHUSD,breakout_realizedvol_filtered,96.0,0.6,-0.1148308743138702,-0.7029484898759228,-0.8680619291427152
ETHUSD,breakout_realizedvol_filtered,96.0,0.8,-0.6003117893050208,-0.8512831931804348,-0.8978397724391075
ETHUSD,breakout_unconditioned,168.0,0.0,0.845718497702917,4.10232101414364,-0.5848623823432404
ETHUSD,breakout_realizedvol_filtered,168.0,0.4,0.11993200406567528,-0.4268465406417957,-0.8352474689901153
ETHUSD,breakout_realizedvol_filtered,168.0,0.6,0.12960831552087154,-0.32757058409156714,-0.809156456211681
ETHUSD,breakout_realizedvol_filtered,168.0,0.8,-0.13201696031371407,-0.5240522207615331,-0.7324202428554881
USDJPY,buy_and_hold,,,0.8182177472976195,0.4720545474622284,-0.15940995940995994
USDJPY,breakout_unconditioned,24.0,0.0,0.755364219985587,0.42416344413273466,-0.16119936975559412
USDJPY,breakout_realizedvol_filtered,24.0,0.4,0.49927997011783676,0.22729768970211683,-0.12334130017069944
USDJPY,breakout_realizedvol_filtered,24.0,0.6,0.12434118715177718,0.03297361300440671,-0.16602989505944787
USDJPY,breakout_realizedvol_filtered,24.0,0.8,0.06726543816117288,0.010188458083497443,-0.14495201210638853
USDJPY,breakout_unconditioned,48.0,0.0,0.19912858384892212,0.07288455532848248,-0.18865008470104083
USDJPY,breakout_realizedvol_filtered,48.0,0.4,0.09785365712543792,0.022064503676015867,-0.18653265861301394
USDJPY,breakout_realizedvol_filtered,48.0,0.6,-0.06832297965648694,-0.041078898293180566,-0.24024453766138631
USDJPY,breakout_realizedvol_filtered,48.0,0.8,0.05771781039555724,0.006909433319597147,-0.15501542332583562
USDJPY,breakout_unconditioned,96.0,0.0,0.11049866747368227,0.027562400913056395,-0.16501786030365406
USDJPY,breakout_realizedvol_filtered,96.0,0.4,0.010354317444145594,-0.011384553503714256,-0.12190612793348787
USDJPY,breakout_realizedvol_filtered,96.0,0.6,-0.08631871319972528,-0.041268812705752,-0.19219511867650585
USDJPY,breakout_realizedvol_filtered,96.0,0.8,-0.10377104379160677,-0.043090638371428236,-0.11601882495500981
USDJPY,breakout_unconditioned,168.0,0.0,-0.24727692464326786,-0.10429114262468497,-0.20190978996903075
USDJPY,breakout_realizedvol_filtered,168.0,0.4,-0.32336576586096877,-0.11571001696884486,-0.17714248316689551
USDJPY,breakout_realizedvol_filtered,168.0,0.6,-0.4859200168542353,-0.13847174649938132,-0.18195941172615737
USDJPY,breakout_realizedvol_filtered,168.0,0.8,-0.4085528562942786,-0.10961364701288756,-0.12368141389098408
XAUUSD,buy_and_hold,,,1.241378511108193,1.93786140491842,-0.24421075720418828
XAUUSD,breakout_unconditioned,24.0,0.0,0.5489266325244888,0.5199962345510867,-0.36232061466908094
XAUUSD,breakout_realizedvol_filtered,24.0,0.4,0.6234732828544075,0.5619231461039111,-0.2929274727100687
XAUUSD,breakout_realizedvol_filtered,24.0,0.6,0.9088176534233129,0.933984578561156,-0.201219888507011
XAUUSD,breakout_realizedvol_filtered,24.0,0.8,0.7344006549134678,0.6143984653627259,-0.15031232164387198
XAUUSD,breakout_unconditioned,48.0,0.0,0.4815115290963395,0.41019200493779406,-0.23054632781319018
XAUUSD,breakout_realizedvol_filtered,48.0,0.4,0.8179795629005655,0.7931476661710757,-0.19682652357930885
XAUUSD,breakout_realizedvol_filtered,48.0,0.6,0.4454913773453025,0.3122126516727559,-0.24965230906369484
XAUUSD,breakout_realizedvol_filtered,48.0,0.8,0.441206435544511,0.27913772295205086,-0.25448968259556093
XAUUSD,breakout_unconditioned,96.0,0.0,0.7468808670258337,0.6932286506660517,-0.17900631659494604
XAUUSD,breakout_realizedvol_filtered,96.0,0.4,0.6095735049162307,0.45823370768036,-0.19609646038608153
XAUUSD,breakout_realizedvol_filtered,96.0,0.6,0.24664155523949266,0.11969913934814769,-0.22300452362163814
XAUUSD,breakout_realizedvol_filtered,96.0,0.8,0.6326915653727597,0.40125222588998843,-0.16895479321379536
XAUUSD,breakout_unconditioned,168.0,0.0,0.37558854146572673,0.23528138045897395,-0.2612067517492489
XAUUSD,breakout_realizedvol_filtered,168.0,0.4,0.27014997880782204,0.13308564497417974,-0.21163629985029742
XAUUSD,breakout_realizedvol_filtered,168.0,0.6,0.07216434312210183,0.003309193059944038,-0.23051002867000003
XAUUSD,breakout_realizedvol_filtered,168.0,0.8,-0.06218719353526559,-0.05522006083576714,-0.1619017878786405
